"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL3182343";"PIVAMPICILLIN";"MK-191|PIVAMPICILLIN|PONDOCILLIN";"MK-191";"4.0";"";"'-cillin'";"1970";"penicillins";"'-cillin(-cillin)'";"";"J01CA02";"J01CA - Penicillins with extended spectrum";"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"0";"0";"0";"0";"Unknown";"CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C"
"CHEMBL2146161";"MIKAMYCIN";"MIKAMYCIN|PRISTINAMYCIN|PYOSTACINE|PYOSTACINE 500|RP 7293|RP-7293|SKF-7988";"RP 7293|RP-7293|SKF-7988";"4.0";"";"'-mycin'";"";"antibiotics (Streptomyces strain)";"'-mycin(-mycin)'";"";"J01FG01";"J01FG - Streptogramins";"J01F - MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"0";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";"CC1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)O[C@H](C(C)C)[C@H](C)/C=C/C(=O)NC\C=C\1.CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)CCN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O"
"CHEMBL507674";"CEFOPERAZONE";"CEFOPERAZONE|Cefoperazone|PERACEF";"";"4.0";"Pfizer Laboratories Div Pfizer Inc|Pfizer Inc";"'cef-'";"1979";"cephalosporins";"'cef-(cef-)'";"1982";"J01DD12";"J01DD - Third-generation cephalosporins";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Discontinued";"CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O"
"CHEMBL1237072";"DIRITHROMYCIN";"DIRITHROMYCIN|Dynabac|LY 237216|LY-237216|NSC-758672";"LY 237216|LY-237216|NSC-758672";"4.0";"Lilly Research Laboratories";"'-mycin'";"1989";"antibiotics (Streptomyces strain)";"'-mycin(-mycin)'";"1995";"J01FA13";"J01FA - Macrolides";"J01F - MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"1";"0";"0";"0";"Discontinued";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O"
"CHEMBL30116";"PIPEMIDIC ACID";"DEBLASTON|DOLCOL|FILTRAX|MEMENTO 400|NSC-758160|NURIL|PI-COLI|PIPEACID|PIPEDAC|PIPEMID|PIPEMIDATE|PIPEMIDIC ACID|PIPEMIDIC ACID ANHYDROUS|PIPEMIDIC ACID HYDRATE|PIPEMIDIC ACID TRIHYDRATE|PIPRAM|PIPURIN|Pipemidic acid|TRACTUR|UROPIMID|UROSTEN|UROVAL";"NSC-758160";"4.0";"";"";"";"";"";"";"J01MB04";"J01MB - Other quinolones";"J01M - QUINOLONE ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21"
"CHEMBL893";"DICLOXACILLIN";"BRL-1702|DICLOXACILLIN|Dicloxacillin|Dycill|Dynapen|Pathocil|R-13423";"BRL-1702|R-13423";"4.0";"Teva Pharmaceuticals Usa Inc|Wyeth Ayerst Laboratories|Glaxosmithkline|Sandoz Inc|Apothecon Inc Div Bristol Myers Squibb";"'-cillin'";"1965";"penicillins";"'-cillin(-cillin)'";"1968";"J01CF01";"J01CF - Beta-lactamase resistant penicillins";"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O"
"CHEMBL1449";"TICARCILLIN";"TICARCILLIN|Ticarcillin";"";"4.0";"Glaxosmithkline|Glaxosmithkline Intellectual Property No 2 Ltd England";"'-cillin'";"1973";"penicillins";"'-cillin(-cillin)'";"1976";"J01CA13";"J01CA - Penicillins with extended spectrum";"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Prescription Only";"CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O"
"CHEMBL1220";"TINIDAZOLE";"CP-12,574|CP-12574|FASIGIN|FASIGYN|HAISIGYN|NSC-758189|Symplotan|TINIDAZOLE|TRICOLAM|TRIMONASE|Tindamax|Trimonase";"CP-12,574|CP-12574|NSC-758189";"4.0";"Mission Pharmacal Co|Unique Pharmaceutical Laboratories A Division Of J.B. Chemicals And Pharmaceuticals Ltd|Novel Laboratories Inc|Edenbridge Pharmaceuticals Llc|Hikma Pharmaceuticals Usa Inc";"'-nidazole'";"1970";"antiprotozoal substances (metronidazole type)";"'-nidazole(-nidazole)'";"2004";"P01AB02 | J01XD02";"P01AB - Nitroimidazole derivatives | J01XD - Imidazole derivatives";"P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES | J01X - OTHER ANTIBACTERIALS";"P01 - ANTIPROTOZOALS | J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antiprotozoal";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"0";"0";"1";"Prescription Only";"CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C"
"CHEMBL501122";"CEFTAROLINE FOSAMIL";"CEFTAROLINE FOSAMIL|CEFTAROLINE FOSAMIL ANHYDROUS|PPI-0903|TAK 599|TAK-599";"PPI-0903|TAK 599|TAK-599";"4.0";"Apotex Inc|Allergan Sales Llc";"'cef-; fos-'";"2006";"cephalosporins; phosphoro-derivatives";"'cef-(cef-); fos-(fos-)'";"2010";"J01DI02";"J01DI - Other cephalosporins and penems";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"US-6417175-B1";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"0";"1";"0";"0";"Prescription Only";"CCO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(Sc3nc(-c4cc[n+](C)cc4)cs3)CS[C@H]12)c1nsc(NP(=O)(O)O)n1"
"CHEMBL137";"METRONIDAZOLE";"ACEA|ANABACT|BAY-5360|BAYER 5360|BAYER-5360|DEFLAMON|DRAZIFON|ELYZOL|FLAGYL COMPAK|FLAGYL ER|FLAGYL-400|FLAGYL-S|Flagyl|Flagyl 375|Flagyl i.v. rtu in plastic container|GINEFLAVIR|METRO I.V.|METROCREAM|METROGEL-VAGINAL|METROLOTION|METROLYL|METROMIDOL|METRONIDAZOLE|METROSA|METROTOP|Metric 21|Metrogel|NEUTRATOP|NORZOL|NSC-50364|NSC-69587|NUVESSA|Noritate|ORVAGIL|PROTOSTAT|ROSICED|ROZEX|RP 8823|RP-8823|SATRIC|VAGINYL|Vandazole|ZADSTAT|ZIDOVAL|ZYOMET";"BAY-5360|BAYER 5360|BAYER-5360|NSC-50364|NSC-69587|RP 8823|RP-8823";"4.0";"Inforlife Sa|Lnk International Inc|Savage Laboratories Inc Div Altana Inc|Halsey Drug Co Inc|Watson Laboratories Inc|Abbott Laboratories Pharmaceutical Products Div|Flamingo Pharmaceuticals Ltd|Fougera Pharmaceuticals Inc|Ivax Pharmaceuticals Inc Sub Teva Pharmaceuticals Usa|Allergan Sales Llc";"'-nidazole'";"1962";"antiprotozoal substances (metronidazole type)";"'-nidazole(-nidazole)'";"1963";"D06BX01 | P01AB51 | G01AF01 | A01AB17 | P01AB01 | J01XD01";"D06BX - Other chemotherapeutics | P01AB - Nitroimidazole derivatives | G01AF - Imidazole derivatives | A01AB - Antiinfectives and antiseptics for local oral treatment | P01AB - Nitroimidazole derivatives | J01XD - Imidazole derivatives";"D06B - CHEMOTHERAPEUTICS FOR TOPICAL USE | P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES | G01A - ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS | A01A - STOMATOLOGICAL PREPARATIONS | P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES | J01X - OTHER ANTIBACTERIALS";"D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE | P01 - ANTIPROTOZOALS | G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS | A01 - STOMATOLOGICAL PREPARATIONS | P01 - ANTIPROTOZOALS | J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"D - DERMATOLOGICALS | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | G - GENITO URINARY SYSTEM AND SEX HORMONES | A - ALIMENTARY TRACT AND METABOLISM | P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS | J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial,Antiprotozoal (trichomonas)";"US-6881726-B2";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"1";"1";"1";"Prescription Only";"Cc1ncc([N+](=O)[O-])n1CCO"
"CHEMBL376140";"TIGECYCLINE";"TIGECYCLINE|Tygacil|WAY-GAR-936";"WAY-GAR-936";"4.0";"Apotex Inc|Fresenius Kabi Usa Llc|Sandoz Inc|Eugia Pharma Specialities Ltd|Xellia Pharmaceuticals Aps|Meitheal Pharmaceuticals Inc|Accord Healthcare Inc Usa|Amneal Pharmaceuticals Llc|Pf Prism Cv";"'-cycline'";"2002";"antibiotics (tetracycline derivatives)";"'-cycline(-cycline)'";"2005";"J01AA12";"J01AA - Tetracyclines";"J01A - TETRACYCLINES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"US-7879828-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"1";"Prescription Only";"CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O"
